"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
1,902333894E0	3,474375153E1	2,628750038E1	-3,858750153E1
1,922412943E0	3,420000076E1	2,591250038E1	-3,900000000E1
1,942473499E0	3,395625305E1	2,580000114E1	-3,930000305E1
1,962506510E0	3,360000229E1	2,585625076E1	-3,960000229E1
1,982530025E0	3,335625076E1	2,591250038E1	-3,978750229E1
2,002535130E0	3,305625153E1	2,615625191E1	-4,025625229E1
2,022528173E0	3,288750076E1	2,628750038E1	-4,085625076E1
2,042526348E0	3,245625305E1	2,645625114E1	-4,128750229E1
2,062516177E0	3,198750114E1	2,651250076E1	-4,145625305E1
2,082501322E0	3,210000229E1	2,658750153E1	-4,145625305E1
2,102493123E0	3,204375076E1	2,670000076E1	-4,151250076E1
2,122483069E0	3,204375076E1	2,670000076E1	-4,181250000E1
2,142469919E0	3,180000114E1	2,675625038E1	-4,181250000E1
2,162467783E0	3,168750191E1	2,658750153E1	-4,158750153E1
2,182460467E0	3,144375038E1	2,705625153E1	-4,158750153E1
2,202462605E0	3,185625076E1	2,735625076E1	-4,175625229E1
2,222461994E0	3,228750229E1	2,741250038E1	-4,211250305E1
2,242455819E0	3,198750114E1	2,771250153E1	-4,235625076E1
2,262458652E0	3,185625076E1	2,808750153E1	-4,241250229E1
2,282459204E0	3,174375153E1	2,838750076E1	-4,211250305E1
2,302453123E0	3,168750191E1	2,868750191E1	-4,230000305E1
2,322456427E0	3,185625076E1	2,898750114E1	-4,235625076E1
2,342455809E0	3,185625076E1	2,885625076E1	-4,235625076E1
2,362451930E0	3,150000191E1	2,891250038E1	-4,241250229E1
2,382454666E0	3,090000153E1	2,891250038E1	-4,230000305E1
2,402452376E0	3,090000153E1	2,910000038E1	-4,241250229E1
2,422213395E0	3,084375191E1	2,915625191E1	-4,248750305E1
2,442272452E0	3,060000038E1	2,910000038E1	-4,278750229E1
2,462320188E0	3,035625076E1	2,885625076E1	-4,320000076E1
2,482355944E0	3,005625153E1	2,898750114E1	-4,355625153E1
2,502393162E0	3,000000191E1	2,915625191E1	-4,380000305E1
2,522418798E0	2,970000076E1	2,915625191E1	-4,385625076E1
2,542444757E0	3,018750191E1	2,921250153E1	-4,421250153E1
2,562457652E0	3,018750191E1	2,928750038E1	-4,428750229E1
2,582463388E0	3,000000191E1	2,940000153E1	-4,451250076E1
2,602472777E0	3,000000191E1	2,970000076E1	-4,470000076E1
2,622472779E0	3,024375153E1	3,005625153E1	-4,481250000E1
2,642467179E0	2,988750076E1	3,035625076E1	-4,475625229E1
2,662468328E0	2,964375114E1	3,060000038E1	-4,505625153E1
2,682464749E0	2,958750153E1	3,071250153E1	-4,505625153E1
2,702457263E0	2,915625191E1	3,108750153E1	-4,511250305E1
2,722458366E0	2,910000038E1	3,131250191E1	-4,505625153E1
2,742455024E0	2,885625076E1	3,131250191E1	-4,500000000E1
2,762459727E0	2,855625153E1	3,125625038E1	-4,530000305E1
2,782460200E0	2,814375114E1	3,120000076E1	-4,530000305E1
2,802455176E0	2,820000076E1	3,101250076E1	-4,560000229E1
2,822458149E0	2,825625038E1	3,108750153E1	-4,560000229E1
2,842456710E0	2,808750153E1	3,095625114E1	-4,565625000E1
2,862451474E0	2,808750153E1	3,120000076E1	-4,565625000E1
2,882454891E0	2,795625114E1	3,120000076E1	-4,571250153E1
2,902486888E0	2,814375114E1	3,161250114E1	-4,595625305E1
2,922587957E0	2,825625038E1	3,198750114E1	-4,595625305E1
2,942312783E0	2,825625038E1	3,228750229E1	-4,595625305E1
2,962094024E0	2,838750076E1	3,258750153E1	-4,601250076E1
2,981938421E0	2,814375114E1	3,281250000E1	-4,608750153E1
3,001847993E0	2,825625038E1	3,318750000E1	-4,601250076E1
3,021775305E0	2,820000076E1	3,330000305E1	-4,601250076E1
3,041760226E0	2,795625114E1	3,318750000E1	-4,625625229E1
3,061824114E0	2,760000038E1	3,305625153E1	-4,650000000E1
