"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
1,803921402E0	-1,578750038E1	-2,081250000E1	-5,190000153E1
1,823709701E0	-1,584375095E1	-2,111250114E1	-5,171250153E1
1,843774679E0	-1,590000057E1	-2,141250038E1	-5,135625076E1
1,863836773E0	-1,601250076E1	-2,160000038E1	-5,118750381E1
1,883882237E0	-1,578750038E1	-2,190000153E1	-5,111250305E1
1,903923605E0	-1,584375095E1	-2,214375114E1	-5,075625229E1
1,923713743E0	-1,614375114E1	-2,220000076E1	-5,081250381E1
1,943780139E0	-1,578750038E1	-2,238750076E1	-5,100000381E1
1,963842495E0	-1,548750019E1	-2,261250114E1	-5,100000381E1
1,983888560E0	-1,511250019E1	-2,274375153E1	-5,135625076E1
2,003918855E0	-1,494375038E1	-2,280000114E1	-5,178750229E1
2,023712256E0	-1,481250095E1	-2,310000038E1	-5,208750153E1
2,043781091E0	-1,511250019E1	-2,334375000E1	-5,208750153E1
2,063599158E0	-1,464375019E1	-2,358750153E1	-5,220000076E1
2,083703530E0	-1,428750038E1	-2,388750076E1	-5,231250381E1
2,103784808E0	-1,434375095E1	-2,430000114E1	-5,231250381E1
2,123611061E0	-1,458750057E1	-2,484375191E1	-5,231250381E1
2,143718327E0	-1,464375019E1	-2,544375038E1	-5,178750229E1
2,163801379E0	-1,440000057E1	-2,591250038E1	-5,148750305E1
2,183871928E0	-1,404375076E1	-2,610000038E1	-5,118750381E1
2,203953866E0	-1,398750019E1	-2,651250076E1	-5,100000381E1
2,223740773E0	-1,404375076E1	-2,670000076E1	-5,111250305E1
2,243578342E0	-1,374375057E1	-2,681250191E1	-5,100000381E1
2,263687678E0	-1,374375057E1	-2,651250076E1	-5,105625153E1
2,283627713E0	-1,374375057E1	-2,610000038E1	-5,105625153E1
2,303645210E0	-1,368750095E1	-2,574375153E1	-5,111250305E1
2,323513400E0	-1,374375057E1	-2,550000191E1	-5,088750076E1
2,343644806E0	-1,404375076E1	-2,531250191E1	-5,118750381E1
2,363759789E0	-1,428750038E1	-2,514375114E1	-5,148750305E1
2,383844772E0	-1,451250076E1	-2,490000153E1	-5,118750381E1
2,403912943E0	-1,481250095E1	-2,484375191E1	-5,130000305E1
2,423721473E0	-1,488750076E1	-2,514375114E1	-5,088750076E1
2,443801117E0	-1,500000095E1	-2,550000191E1	-5,081250381E1
2,463869062E0	-1,560000038E1	-2,591250038E1	-5,081250381E1
2,483915583E0	-1,601250076E1	-2,651250076E1	-5,075625229E1
2,503943124E0	-1,661250114E1	-2,694375038E1	-5,028750229E1
2,523733491E0	-1,710000038E1	-2,724375153E1	-4,985625076E1
2,543799615E0	-1,740000153E1	-2,784375191E1	-4,955625153E1
2,563849206E0	-1,788750076E1	-2,831250191E1	-4,871250153E1
2,583894557E0	-1,854375076E1	-2,898750114E1	-4,818750381E1
2,603924826E0	-1,860000038E1	-2,940000153E1	-4,788750076E1
2,623707070E0	-1,848750114E1	-2,988750076E1	-4,781250000E1
2,643779168E0	-1,848750114E1	-3,018750191E1	-4,770000076E1
2,663835670E0	-1,800000000E1	-3,048750114E1	-4,751250076E1
2,683875353E0	-1,794375038E1	-3,078750038E1	-4,745625305E1
2,703912590E0	-1,818750000E1	-3,101250076E1	-4,745625305E1
2,723700798E0	-1,824375153E1	-3,114375114E1	-4,745625305E1
2,743778646E0	-1,811250114E1	-3,108750153E1	-4,775625229E1
2,763838868E0	-1,848750114E1	-3,108750153E1	-4,775625229E1
2,783882080E0	-1,854375076E1	-3,084375191E1	-4,770000076E1
2,803919929E0	-1,878750038E1	-3,041250038E1	-4,770000076E1
2,823708884E0	-1,931250000E1	-3,030000114E1	-4,751250076E1
2,843774896E0	-1,968750000E1	-3,011250114E1	-4,740000153E1
2,863836818E0	-1,944375038E1	-2,964375114E1	-4,721250153E1
2,883882119E0	-1,968750000E1	-2,951250076E1	-4,745625305E1
2,903921964E0	-1,974375153E1	-2,910000038E1	-4,715625000E1
2,923712616E0	-1,950000000E1	-2,898750114E1	-4,715625000E1
2,943780091E0	-1,998750114E1	-2,904375076E1	-4,668750000E1
2,963842110E0	-2,004375076E1	-2,898750114E1	-4,638750076E1
2,983886775E0	-2,028750038E1	-2,898750114E1	-4,625625229E1
3,003916772E0	-2,004375076E1	-2,904375076E1	-4,608750153E1
3,023710456E0	-2,028750038E1	-2,940000153E1	-4,620000076E1
3,043782334E0	-2,010000038E1	-2,964375114E1	-4,608750153E1
3,063834929E0	-2,010000038E1	-2,981250191E1	-4,625625229E1
3,083649620E0	-2,010000038E1	-2,988750076E1	-4,595625305E1
3,103738398E0	-1,968750000E1	-2,994375038E1	-4,620000076E1
3,123571615E0	-1,944375038E1	-3,048750114E1	-4,655625153E1
3,143685880E0	-1,908750153E1	-3,071250153E1	-4,668750000E1
3,163775766E0	-1,890000153E1	-3,090000153E1	-4,685625076E1
3,183852952E0	-1,901250076E1	-3,131250191E1	-4,680000305E1
3,203908255E0	-1,901250076E1	-3,131250191E1	-4,661250305E1
3,223707424E0	-1,908750153E1	-3,174375153E1	-4,655625153E1
3,243789635E0	-1,920000076E1	-3,168750191E1	-4,661250305E1
3,263851753E0	-1,968750000E1	-3,144375038E1	-4,661250305E1
3,283895243E0	-1,998750114E1	-3,101250076E1	-4,661250305E1
3,303933946E0	-2,004375076E1	-3,060000038E1	-4,680000305E1
3,323721779E0	-1,998750114E1	-3,018750191E1	-4,710000229E1
3,343785285E0	-1,968750000E1	-2,964375114E1	-4,758750153E1
3,363868813E0	-1,950000000E1	-2,940000153E1	-4,775625229E1
3,383995967E0	-1,938750076E1	-2,880000114E1	-4,781250000E1
3,403763810E0	-1,961250114E1	-2,844375038E1	-4,775625229E1
3,423587325E0	-1,938750076E1	-2,814375114E1	-4,781250000E1
3,443450846E0	-1,950000000E1	-2,790000153E1	-4,751250076E1
3,463360630E0	-1,944375038E1	-2,771250153E1	-4,751250076E1
3,483353367E0	-1,974375153E1	-2,771250153E1	-4,740000153E1
3,503317716E0	-2,010000038E1	-2,760000038E1	-4,691250229E1
3,523285947E0	-2,010000038E1	-2,748750114E1	-4,698750305E1
3,543397765E0	-2,010000038E1	-2,718750191E1	-4,745625305E1
3,563553948E0	-1,980000114E1	-2,694375038E1	-4,775625229E1
3,583718365E0	-2,004375076E1	-2,700000191E1	-4,775625229E1
3,603837048E0	-2,021250153E1	-2,670000076E1	-4,811250305E1
3,623681766E0	-2,040000153E1	-2,658750153E1	-4,818750381E1
3,643795161E0	-2,040000153E1	-2,634375191E1	-4,830000305E1
3,663876114E0	-2,004375076E1	-2,610000038E1	-4,860000229E1
3,683940762E0	-1,991250038E1	-2,591250038E1	-4,860000229E1
3,703978147E0	-1,944375038E1	-2,574375153E1	-4,848750305E1
3,723761763E0	-1,914375114E1	-2,591250038E1	-4,871250153E1
3,743830543E0	-1,878750038E1	-2,574375153E1	-4,908750153E1
3,763880408E0	-1,848750114E1	-2,598750114E1	-4,931250381E1
3,783925444E0	-1,841250038E1	-2,580000114E1	-4,938750076E1
3,803952714E0	-1,800000000E1	-2,598750114E1	-4,925625229E1
3,823732386E0	-1,800000000E1	-2,604375076E1	-4,908750153E1
3,843791073E0	-1,788750076E1	-2,610000038E1	-4,908750153E1
3,863846511E0	-1,818750000E1	-2,634375191E1	-4,920000076E1
3,883887904E0	-1,811250114E1	-2,634375191E1	-4,925625229E1
3,903924490E0	-1,781250000E1	-2,634375191E1	-4,901250076E1
3,923712773E0	-1,751250076E1	-2,634375191E1	-4,890000153E1
3,943778456E0	-1,740000153E1	-2,651250076E1	-4,878750229E1
3,963840476E0	-1,734375000E1	-2,634375191E1	-4,908750153E1
3,983885707E0	-1,734375000E1	-2,628750038E1	-4,925625229E1
4,003915202E0	-1,751250076E1	-2,628750038E1	-4,931250381E1
4,023708851E0	-1,770000076E1	-2,628750038E1	-4,938750076E1
4,043779626E0	-1,770000076E1	-2,604375076E1	-4,931250381E1
4,063833721E0	-1,758750153E1	-2,598750114E1	-4,931250381E1
4,083883295E0	-1,734375000E1	-2,604375076E1	-4,938750076E1
4,103915763E0	-1,721250153E1	-2,610000038E1	-4,931250381E1
4,123712081E0	-1,710000038E1	-2,604375076E1	-4,950000381E1
4,143784519E0	-1,728750038E1	-2,591250038E1	-4,938750076E1
4,163840292E0	-1,728750038E1	-2,574375153E1	-4,931250381E1
4,183880305E0	-1,691250038E1	-2,550000191E1	-4,925625229E1
4,203916190E0	-1,704375076E1	-2,544375038E1	-4,908750153E1
4,223703430E0	-1,734375000E1	-2,538750076E1	-4,901250076E1
4,243779226E0	-1,770000076E1	-2,490000153E1	-4,901250076E1
4,263837235E0	-1,800000000E1	-2,454375076E1	-4,931250381E1
4,283880049E0	-1,824375153E1	-2,441250038E1	-4,920000076E1
4,303919165E0	-1,848750114E1	-2,441250038E1	-4,920000076E1
4,323708149E0	-1,890000153E1	-2,430000114E1	-4,920000076E1
4,343775381E0	-1,950000000E1	-2,460000038E1	-4,878750229E1
4,363836634E0	-2,021250153E1	-2,501250076E1	-4,871250153E1
4,383882536E0	-2,064375114E1	-2,508750153E1	-4,848750305E1
4,403922988E0	-2,118750000E1	-2,561250114E1	-4,800000000E1
4,423713445E0	-2,100000000E1	-2,591250038E1	-4,781250000E1
4,443780707E0	-2,118750000E1	-2,580000114E1	-4,758750153E1
4,463843427E0	-2,094375038E1	-2,550000191E1	-4,758750153E1
4,483889553E0	-2,064375114E1	-2,520000076E1	-4,770000076E1
4,503919954E0	-2,034375000E1	-2,441250038E1	-4,788750076E1
4,523947334E0	-1,974375153E1	-2,358750153E1	-4,835625076E1
4,543961585E0	-1,931250000E1	-2,304375076E1	-4,865625381E1
4,563967009E0	-1,901250076E1	-2,250000000E1	-4,895625305E1
4,583975937E0	-1,920000076E1	-2,244375038E1	-4,895625305E1
4,603974738E0	-1,950000000E1	-2,250000000E1	-4,890000153E1
4,623979532E0	-1,998750114E1	-2,250000000E1	-4,848750305E1
4,643977489E0	-2,051250076E1	-2,261250114E1	-4,811250305E1
4,663972448E0	-2,088750076E1	-2,280000114E1	-4,781250000E1
4,683996037E0	-2,124375153E1	-2,310000038E1	-4,745625305E1
4,704064811E0	-2,148750114E1	-2,304375076E1	-4,745625305E1
4,723853078E0	-2,160000038E1	-2,274375153E1	-4,751250076E1
4,743650459E0	-2,178750038E1	-2,231250000E1	-4,740000153E1
4,763550822E0	-2,160000038E1	-2,184375000E1	-4,728750229E1
4,783547815E0	-2,130000114E1	-2,178750038E1	-4,745625305E1
4,803618245E0	-2,100000000E1	-2,160000038E1	-4,800000000E1
4,823721263E0	-2,111250114E1	-2,154375076E1	-4,830000305E1
4,843800123E0	-2,141250038E1	-2,160000038E1	-4,788750076E1
4,863868017E0	-2,171250153E1	-2,184375000E1	-4,758750153E1
4,883914395E0	-2,184375000E1	-2,214375114E1	-4,758750153E1
4,903953037E0	-2,171250153E1	-2,220000076E1	-4,775625229E1
4,923974664E0	-2,154375076E1	-2,250000000E1	-4,758750153E1
4,943982941E0	-2,154375076E1	-2,250000000E1	-4,745625305E1
4,963993824E0	-2,154375076E1	-2,244375038E1	-4,721250153E1
4,983993350E0	-2,130000114E1	-2,214375114E1	-4,710000229E1
5,003985976E0	-2,070000076E1	-2,171250153E1	-4,758750153E1
5,023984831E0	-2,040000153E1	-2,141250038E1	-4,788750076E1
5,043977652E0	-1,991250038E1	-2,111250114E1	-4,758750153E1
5,063968311E0	-1,998750114E1	-2,141250038E1	-4,751250076E1
5,083967589E0	-1,998750114E1	-2,160000038E1	-4,800000000E1
5,103961948E0	-1,991250038E1	-2,208750153E1	-4,811250305E1
5,123952854E0	-1,998750114E1	-2,268750000E1	-4,775625229E1
5,143953305E0	-2,040000153E1	-2,340000153E1	-4,745625305E1
5,163952195E0	-2,094375038E1	-2,388750076E1	-4,685625076E1
5,183957526E0	-2,178750038E1	-2,418750191E1	-4,631250000E1
5,203957271E0	-2,261250114E1	-2,441250038E1	-4,608750153E1
5,223951528E0	-2,304375076E1	-2,388750076E1	-4,571250153E1
5,243720756E0	-2,340000153E1	-2,334375000E1	-4,535625076E1
5,263773899E0	-2,400000000E1	-2,280000114E1	-4,505625153E1
5,283583455E0	-2,441250038E1	-2,250000000E1	-4,511250305E1
5,303681907E0	-2,430000114E1	-2,231250000E1	-4,505625153E1
5,323762975E0	-2,454375076E1	-2,238750076E1	-4,500000000E1
5,343825071E0	-2,441250038E1	-2,274375153E1	-4,500000000E1
5,363879859E0	-2,411250114E1	-2,280000114E1	-4,511250305E1
5,383918106E0	-2,418750191E1	-2,321250153E1	-4,535625076E1
5,403950488E0	-2,411250114E1	-2,340000153E1	-4,530000305E1
5,423967622E0	-2,400000000E1	-2,364375114E1	-4,530000305E1
5,443973790E0	-2,370000076E1	-2,334375000E1	-4,560000229E1
5,463984057E0	-2,328750038E1	-2,291250038E1	-4,631250000E1
5,483983103E0	-2,291250038E1	-2,231250000E1	-4,710000229E1
5,503976561E0	-2,231250000E1	-2,154375076E1	-4,770000076E1
5,523976631E0	-2,184375000E1	-2,130000114E1	-4,800000000E1
5,543971737E0	-2,118750000E1	-2,118750000E1	-4,805625153E1
5,563962820E0	-2,124375153E1	-2,111250114E1	-4,865625381E1
5,583962224E0	-2,094375038E1	-2,111250114E1	-4,901250076E1
5,603958164E0	-2,088750076E1	-2,141250038E1	-4,901250076E1
5,623950663E0	-2,088750076E1	-2,208750153E1	-4,871250153E1
5,643951823E0	-2,058750153E1	-2,280000114E1	-4,830000305E1
5,663950490E0	-2,070000076E1	-2,340000153E1	-4,811250305E1
5,683721167E0	-2,094375038E1	-2,370000076E1	-4,788750076E1
5,703776429E0	-2,094375038E1	-2,388750076E1	-4,800000000E1
5,723821975E0	-2,064375114E1	-2,400000000E1	-4,775625229E1
5,743866713E0	-2,034375000E1	-2,340000153E1	-4,788750076E1
5,763898778E0	-2,004375076E1	-2,304375076E1	-4,818750381E1
5,783919105E0	-1,950000000E1	-2,261250114E1	-4,835625076E1
5,803941126E0	-1,920000076E1	-2,238750076E1	-4,890000153E1
5,823951766E0	-1,871250153E1	-2,238750076E1	-4,895625305E1
5,843965833E0	-1,800000000E1	-2,238750076E1	-4,950000381E1
5,864061174E0	-1,728750038E1	-2,220000076E1	-4,985625076E1
5,883793747E0	-1,644375038E1	-2,208750153E1	-5,015625381E1
5,903590852E0	-1,571250057E1	-2,250000000E1	-5,058750153E1
5,923715094E0	-1,500000095E1	-2,268750000E1	-5,088750076E1
5,943547814E0	-1,488750076E1	-2,244375038E1	-5,135625076E1
5,963464256E0	-1,458750057E1	-2,201250076E1	-5,141250229E1
