"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
1,930084650E0	-1,750050068E0	6,211050510E0	5,727000237E0
1,950246828E0	-1,927950144E0	6,448050499E0	6,391950130E0
1,970409223E0	-2,014050007E0	6,478950500E0	7,659000397E0
1,990571377E0	-2,053950071E0	6,661050320E0	7,965000153E0
2,010733531E0	-2,658000231E0	6,891000271E0	8,712000847E0
2,030895751E0	-3,148950100E0	6,895950317E0	9,469050407E0
2,051058158E0	-2,434950113E0	6,709050179E0	7,879050255E0
2,071220297E0	-2,320050001E0	6,832950115E0	5,683950424E0
2,091382456E0	-2,569050074E0	6,778050423E0	5,311950207E0
2,111544680E0	-2,368050098E0	6,850050449E0	5,185950279E0
2,131706848E0	-2,275050163E0	6,769050121E0	4,221000195E0
2,151869010E0	-1,995000124E0	6,577050209E0	3,462000132E0
2,172031475E0	-2,296050072E0	6,192000389E0	5,028000355E0
2,192193615E0	-3,015000105E0	5,799000263E0	7,390950203E0
2,212355795E0	-3,751950264E0	5,667000294E0	9,684000015E0
2,232517949E0	-3,055050135E0	4,948950291E0	1,063305092E1
2,252680340E0	-1,810050130E0	4,381950378E0	9,517050743E0
2,272842472E0	-1,123050094E0	4,171050072E0	8,037000656E0
2,293004692E0	-9,199500680E-1	4,261950016E0	7,639950275E0
2,313166838E0	-6,610500216E-1	4,489050388E0	6,949950218E0
2,333329002E0	-8,190000653E-1	4,992000103E0	5,631000042E0
2,353491369E0	-2,062050104E0	5,347050190E0	5,830050468E0
2,373653595E0	-3,292050123E0	5,092950344E0	8,086950302E0
2,393815742E0	-2,827950239E0	4,129950047E0	8,284049988E0
2,413977910E0	-1,746000051E0	3,691950083E0	5,839050293E0
2,434140069E0	-5,770500302E-1	4,561050415E0	3,658050060E0
2,454302442E0	-7,905000448E-2	6,604050159E0	4,351950169E0
2,474464612E0	-1,024950027E0	8,791950226E0	6,925950527E0
2,494626847E0	-1,543950081E0	9,097949982E0	9,346950531E0
2,514788987E0	-2,290950060E0	8,842050552E0	1,349400043E1
2,534951350E0	-2,188950062E0	8,551950455E0	1,638405037E1
2,555113516E0	1,323000073E0	8,749050140E0	1,095300007E1
2,575275742E0	2,182049990E0	8,835000038E0	4,185000420E0
2,595437896E0	-1,224000096E0	9,331050873E0	5,314950466E0
2,615600039E0	-4,612050056E0	8,931000710E0	1,131495094E1
2,635762444E0	-3,868950129E0	7,669050217E0	1,069995022E1
2,655924600E0	-1,995000124E0	6,532050133E0	8,041950226E0
2,676086764E0	-1,279050112E0	6,228000164E0	6,165000439E0
2,696249017E0	-1,008000016E0	6,864000320E0	4,663950443E0
2,716411157E0	-8,260500431E-1	7,494000435E0	2,193000078E0
2,736573526E0	-1,960950136E0	7,767000198E0	1,921950102E0
2,756735750E0	-4,372050285E0	6,984000206E0	7,510050297E0
2,776897921E0	-4,456050396E0	5,731950283E0	1,273005104E1
2,797060296E0	-1,519950032E0	4,975050449E0	1,029000092E1
2,817222448E0	6,720000505E-1	4,876950264E0	4,992000103E0
2,837384589E0	1,129050016E0	5,502000332E0	2,808000088E0
2,857546820E0	-5,010000467E-1	6,208050251E0	6,067050457E0
2,877708988E0	-1,623000026E0	6,406950474E0	8,855999947E0
2,897871142E0	-1,432050109E0	6,295050144E0	8,241000175E0
2,918033534E0	-1,183050036E0	6,526950359E0	6,616950512E0
2,938195671E0	-8,550000191E-1	6,478950500E0	6,301050186E0
2,958357901E0	-1,045950055E0	6,280050278E0	7,632000446E0
2,978520041E0	-9,220500588E-1	5,932950497E0	8,571000099E0
2,998682209E0	-4,860000312E-1	5,767950058E0	8,089950562E0
3,018844594E0	1,469999999E-1	6,079050064E0	6,126000404E0
3,039006813E0	4,630500078E-1	6,184950352E0	5,430000305E0
3,059168974E0	-4,605000094E-2	5,821050167E0	6,988050461E0
3,079331108E0	-4,860000312E-1	5,301000118E0	8,905950546E0
3,099493498E0	-1,141950011E0	5,160000324E0	9,871050835E0
3,119655645E0	-2,698050022E0	6,004950523E0	7,611000538E0
3,139817890E0	-4,008000374E0	7,104000568E0	5,746050358E0
3,159980046E0	-3,229950190E0	7,123050213E0	5,178000450E0
3,180142433E0	-1,887000084E0	6,156000137E0	5,617050171E0
3,200304659E0	-8,119500279E-1	5,800950050E0	5,740950108E0
3,220466722E0	4,540500343E-1	6,040950298E0	5,073000431E0
3,240628955E0	1,194000006E0	6,280050278E0	4,479000092E0
3,260791118E0	1,378050089E0	6,388050079E0	5,475000381E0
3,280953496E0	-1,200000048E-1	6,610950470E0	9,064050674E0
3,301115757E0	-2,350950003E0	6,442950249E0	1,279005051E1
3,321277877E0	-3,843000174E0	6,037950516E0	1,395105076E1
3,341440016E0	-3,733050108E0	5,916000366E0	1,146600056E1
3,361602399E0	-2,418000221E0	5,659950256E0	7,624950409E0
3,381764553E0	-5,149500370E-1	4,906050205E0	4,690050125E0
3,401926784E0	6,760500073E-1	4,267050266E0	4,398000240E0
3,422089173E0	1,135950089E0	4,425000191E0	5,238000393E0
3,442251088E0	1,249050021E0	5,131050110E0	4,789950371E0
3,462413466E0	1,039950013E0	5,943000317E0	4,800000191E0
3,482575622E0	-4,095000029E-2	6,967050552E0	6,625050545E0
3,502737842E0	-1,087050080E0	7,603950500E0	7,756950378E0
3,522900235E0	-2,301000118E0	7,171050549E0	9,969000816E0
3,543062389E0	-2,955000162E0	6,334950447E0	1,328100109E1
3,563224529E0	-1,303050041E0	5,514000416E0	1,328505039E1
3,583386755E0	9,589500427E-1	5,521050453E0	8,583000183E0
3,603548916E0	1,819050074E0	6,436050415E0	5,415000439E0
3,623711285E0	4,440000355E-1	7,719000340E0	6,210000515E0
3,643873519E0	-1,758000135E0	8,323050499E0	8,860950470E0
3,664035688E0	-3,208050251E0	7,980000496E0	1,039305019E1
3,684198087E0	-3,886050224E0	7,200000286E0	1,224195099E1
3,704360255E0	-2,823000193E0	6,642000198E0	1,121400070E1
3,724522491E0	-1,048950076E0	5,902050495E0	7,927050591E0
