"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
1,987698721E0	3,765000105E0	9,172950745E0	6,405000389E-2
2,007861194E0	2,998950243E0	9,529050827E0	1,371000051E0
2,028023640E0	3,346050262E0	9,472050667E0	2,818050146E0
2,048186110E0	4,201050282E0	8,809050560E0	3,712950230E0
2,068348587E0	5,494050026E0	7,719000340E0	3,150000095E0
2,088510808E0	6,178950310E0	7,087050438E0	1,537050128E0
2,108673293E0	5,776050091E0	7,092000484E0	1,245000005E0
2,128835783E0	4,711050034E0	7,795950413E0	1,620000124E0
2,148998254E0	3,685950279E0	8,598000526E0	2,029950142E0
2,169160636E0	3,114000082E0	9,151050568E0	2,652000189E0
2,189323194E0	3,568950176E0	9,273000717E0	3,112050056E0
2,209485664E0	3,067950249E0	9,393000603E0	3,109950066E0
2,229648124E0	3,882000208E0	8,485050201E0	3,895050287E0
2,249810577E0	4,170000076E0	8,011050224E0	4,000050068E0
2,269972965E0	4,351950169E0	7,944000244E0	3,385050058E0
2,290135427E0	4,117050171E0	8,389950752E0	2,751000166E0
2,310297898E0	3,574050188E0	8,761050224E0	2,602050066E0
2,330460177E0	3,637950182E0	8,956950188E0	2,595000029E0
2,350622851E0	3,520950079E0	9,046050072E0	2,502000093E0
2,370785061E0	3,909000158E0	8,539950371E0	2,575950146E0
2,390947443E0	4,299000263E0	8,173950195E0	2,320050001E0
2,411109990E0	4,288949966E0	8,110050201E0	2,205000162E0
2,431272369E0	3,904050112E0	8,452050209E0	2,466000080E0
2,451434841E0	3,756000280E0	8,602950096E0	2,752950191E0
2,471597292E0	3,568950176E0	8,979000092E0	2,557050228E0
2,491759768E0	3,784050226E0	9,097949982E0	2,518050194E0
2,511922011E0	4,060050011E0	8,974050522E0	2,536950111E0
2,532084477E0	4,324950218E0	8,641050339E0	2,739000082E0
2,552246920E0	4,444950104E0	8,404050827E0	3,000000238E0
2,572409372E0	4,167000294E0	8,253000259E0	3,258000135E0
2,592571845E0	3,784050226E0	8,670000076E0	3,193050146E0
2,612734223E0	3,169050217E0	9,180000305E0	2,904000044E0
2,632896684E0	3,138000250E0	8,646000862E0	2,925000191E0
2,653059131E0	3,370050192E0	8,050050735E0	2,848950148E0
2,673221601E0	3,667050123E0	8,016000748E0	2,515950203E0
2,693384062E0	3,685950279E0	8,251049995E0	2,623950243E0
2,713546342E0	3,624000072E0	8,397000313E0	2,932950258E0
2,733708811E0	3,580950260E0	8,563950539E0	2,794050217E0
2,753871260E0	3,412950277E0	8,824950218E0	2,394000053E0
2,774033707E0	3,031950235E0	9,046050072E0	2,061000109E0
2,794196158E0	2,997000217E0	8,863950729E0	2,161950111E0
2,814358601E0	3,436950207E0	8,563950539E0	2,314950228E0
2,834521003E0	4,030950069E0	8,374950409E0	2,905950069E0
2,854683433E0	4,359000206E0	8,164950371E0	3,439950228E0
2,874845909E0	4,680000305E0	8,047050476E0	3,736950159E0
2,895008385E0	4,476000309E0	8,293950081E0	3,724950075E0
2,915170818E0	3,934950113E0	8,137949944E0	3,499950171E0
2,935333260E0	3,766950130E0	8,268000603E0	2,916000128E0
2,955495500E0	3,511050224E0	8,690999985E0	2,620950222E0
2,975657991E0	3,655050278E0	8,641050339E0	2,169000149E0
2,995820457E0	3,922950268E0	8,485050201E0	2,157000065E0
3,015982913E0	4,066950321E0	8,575950623E0	2,287950039E0
3,036145634E0	3,957000256E0	8,892000198E0	3,031050205E0
3,056307851E0	4,155000210E0	8,803950310E0	3,471000195E0
3,076470222E0	4,318050385E0	8,461050034E0	3,028050184E0
3,096632676E0	3,946950197E0	8,404050827E0	3,532950163E0
3,116795154E0	3,733950138E0	8,539950371E0	4,144050121E0
3,136957611E0	3,495000124E0	8,701050758E0	4,060050011E0
3,157119820E0	3,360000134E0	9,085950851E0	4,066950321E0
3,177282300E0	3,088050127E0	9,610950470E0	4,153950214E0
3,197444995E0	3,210000038E0	9,795000076E0	3,634050131E0
3,217607226E0	2,178000212E0	1,022400093E1	2,194950104E0
3,237769698E0	1,336950064E0	1,124805069E1	1,153950095E0
3,257932129E0	1,603050113E0	1,146600056E1	3,490500152E-1
3,278094600E0	4,368000031E0	9,031050682E0	1,612950087E0
3,298256973E0	7,416000366E0	5,314950466E0	3,427950144E0
3,318419448E0	8,889000893E0	3,177000046E0	4,885950089E0
3,338581987E0	7,515000343E0	3,738000154E0	5,788950443E0
3,358744355E0	4,579050064E0	6,096000195E0	6,874050140E0
3,378906817E0	2,182049990E0	8,169000626E0	6,045000076E0
3,399069274E0	2,017050028E0	8,694000244E0	3,639000177E0
3,419231749E0	2,500950098E0	8,674950600E0	2,344050169E0
3,439394221E0	2,568000078E0	8,650950432E0	2,164050102E0
3,459556463E0	2,743050098E0	8,385000229E0	2,499000072E0
3,479718934E0	3,669000149E0	8,041950226E0	2,308050156E0
3,499881381E0	4,323000431E0	7,719000340E0	2,137950182E0
3,520043852E0	4,227000237E0	7,911000252E0	2,037000179E0
3,540206309E0	3,420000076E0	8,605050087E0	3,352050066E0
3,560368699E0	2,860050201E0	8,995050430E0	3,924000263E0
3,580531170E0	2,869950056E0	9,334950447E0	3,751050234E0
3,600693627E0	3,289050102E0	9,216000557E0	3,033000231E0
3,620856081E0	3,331950188E0	9,034049988E0	2,125950098E0
3,641018533E0	3,553950071E0	9,000000000E0	2,389050007E0
3,661180742E0	3,388950109E0	8,812950134E0	2,134950161E0
3,681343216E0	2,913000107E0	8,539950371E0	2,213999987E0
3,701505890E0	2,970000029E0	7,963050365E0	2,679000139E0
3,721668346E0	3,268950224E0	7,801050186E0	3,375000238E0
3,741830842E0	3,853950262E0	7,687950134E0	3,208050251E0
3,761993303E0	3,547050238E0	8,425950050E0	3,265050173E0
