"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
1,775993294E0	6,876375079E-1	-1,869999990E-2	3,079999983E-2
1,796155776E0	3,928374946E-1	4,097500071E-2	-2,873750031E-2
1,816318202E0	1,842499971E-1	-7,397499681E-2	-1,234750003E-1
1,836480730E0	1,321374923E-1	-2,847625017E-1	-2,085874975E-1
1,856642866E0	1,927749962E-1	-4,529249966E-1	-1,692624986E-1
1,876805531E0	2,693625093E-1	-5,433999896E-1	-7,672499865E-2
1,896967988E0	4,662624896E-1	-6,327750087E-1	-3,946249932E-2
1,917130192E0	6,791124940E-1	-7,944750190E-1	-9,473749995E-2
1,937292649E0	7,238000035E-1	-7,295749784E-1	-1,586750001E-1
1,957455115E0	6,386874914E-1	-2,463999987E-1	-5,431250110E-2
1,977617500E0	2,906749845E-1	1,313125044E-1	1,149500012E-1
1,997780038E0	-1,051874980E-1	9,088750184E-2	1,531749964E-1
2,017942409E0	-3,254624903E-1	-2,502499893E-2	2,468124926E-1
2,038104875E0	-3,339875042E-1	-1,729750037E-1	3,554374874E-1
2,058267341E0	-1,083500013E-1	-1,963499933E-1	3,628624976E-1
2,078429584E0	1,256749928E-1	-7,617499679E-2	2,213750035E-1
2,098592044E0	1,458874941E-1	1,058750004E-1	-2,777500078E-2
2,118754534E0	-4,661250114E-2	1,143999994E-1	-3,140499890E-1
2,138917014E0	-2,329249978E-1	7,809999585E-2	-4,703874886E-1
2,159079481E0	-3,319250047E-1	7,493750006E-2	-4,757499993E-1
2,179241961E0	-4,074124992E-1	2,818750031E-2	-3,352249861E-1
2,199404420E0	-3,510375023E-1	7,287500054E-2	-2,330625057E-1
2,219566818E0	-3,180375099E-1	5,788749829E-2	-4,042499885E-2
2,239729271E0	-1,913999915E-1	-5,912499968E-3	4,248749837E-2
2,259891736E0	-1,897500083E-2	-9,748750180E-2	2,062499989E-3
2,280054196E0	8,002500236E-2	-1,219625026E-1	-5,747500062E-2
2,300216439E0	1,023000032E-1	-3,781250119E-2	-9,267500043E-2
2,320378938E0	8,098749816E-2	2,612499986E-3	-3,409999982E-2
2,340541389E0	8,002500236E-2	-5,499999970E-4	2,543750033E-2
2,360703853E0	4,798749834E-2	-6,448750198E-2	8,195000142E-2
2,380866292E0	5,128749833E-2	-4,949999973E-2	8,291249722E-2
2,401028682E0	1,828750037E-2	-3,148749843E-2	1,911249943E-2
2,421191135E0	-4,881250113E-2	-2,928750031E-2	-5,541250110E-2
2,441353600E0	-9,033749998E-2	-2,928750031E-2	-8,841250092E-2
2,461516072E0	-8,813749999E-2	-6,118749827E-2	-8,731249720E-2
2,481678523E0	-9,776250273E-2	-2,296249941E-2	-2,667500079E-2
2,501840999E0	-1,051874980E-1	3,712499980E-3	3,396249935E-2
2,522003470E0	-1,615625024E-1	-1,223750040E-2	5,211250111E-2
2,542165932E0	-1,871374995E-1	7,974999957E-3	-2,199999988E-3
