"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
1,801639493E0	-2,124375153E1	-7,312500477E0	-2,460000038E1
1,821671505E0	-2,135625076E1	-7,500000477E0	-2,441250038E1
1,841692274E0	-2,160000038E1	-8,100000381E0	-2,424375153E1
1,861714479E0	-2,165625000E1	-8,212500572E0	-2,430000114E1
1,881725920E0	-2,195625114E1	-8,756250381E0	-2,418750191E1
1,901729017E0	-2,220000076E1	-9,056250572E0	-2,370000076E1
1,921736968E0	-2,244375038E1	-9,300000191E0	-2,340000153E1
1,941737985E0	-2,304375076E1	-9,656250000E0	-2,304375076E1
1,961734474E0	-2,304375076E1	-1,001250076E1	-2,220000076E1
1,981736812E0	-2,334375000E1	-1,050000000E1	-2,171250153E1
2,001732976E0	-2,370000076E1	-1,061250019E1	-2,111250114E1
2,021736846E0	-2,375625038E1	-1,104375076E1	-2,051250076E1
2,041735343E0	-2,400000000E1	-1,091250038E1	-2,004375076E1
2,061729947E0	-2,430000114E1	-1,085625076E1	-1,980000114E1
2,081733517E0	-2,430000114E1	-1,080000019E1	-1,961250114E1
2,101732106E0	-2,405625153E1	-1,055625057E1	-1,944375038E1
2,121726921E0	-2,411250114E1	-1,031250000E1	-1,944375038E1
2,141728893E0	-2,405625153E1	-1,031250000E1	-1,938750076E1
2,161726400E0	-2,381250000E1	-9,956250191E0	-1,944375038E1
2,181720542E0	-2,400000000E1	-9,956250191E0	-1,968750000E1
2,201757415E0	-2,400000000E1	-9,956250191E0	-1,974375153E1
2,221469862E0	-2,345625114E1	-9,956250191E0	-1,980000114E1
2,241299801E0	-2,351250076E1	-1,014375019E1	-2,034375000E1
2,261172958E0	-2,351250076E1	-1,025625038E1	-2,034375000E1
2,281082499E0	-2,345625114E1	-1,014375019E1	-2,040000153E1
2,301055202E0	-2,321250153E1	-9,956250191E0	-2,051250076E1
2,321019316E0	-2,315625000E1	-1,031250000E1	-2,058750153E1
2,341030236E0	-2,310000038E1	-1,001250076E1	-2,051250076E1
2,361112834E0	-2,280000114E1	-9,900000572E0	-2,051250076E1
2,381235578E0	-2,321250153E1	-1,025625038E1	-2,064375114E1
2,401394179E0	-2,321250153E1	-1,025625038E1	-2,034375000E1
2,421545970E0	-2,310000038E1	-1,020000076E1	-2,058750153E1
2,441651561E0	-2,310000038E1	-1,031250000E1	-2,051250076E1
2,461721341E0	-2,334375000E1	-1,025625038E1	-2,028750038E1
2,481770850E0	-2,321250153E1	-1,014375019E1	-2,010000038E1
2,501795089E0	-2,334375000E1	-1,031250000E1	-2,004375076E1
2,521811519E0	-2,351250076E1	-1,050000000E1	-1,980000114E1
2,541813218E0	-2,334375000E1	-1,031250000E1	-1,974375153E1
2,561802456E0	-2,340000153E1	-1,031250000E1	-1,950000000E1
2,581796108E0	-2,345625114E1	-1,020000076E1	-1,931250000E1
2,601783458E0	-2,351250076E1	-1,020000076E1	-1,944375038E1
2,621767911E0	-2,370000076E1	-1,025625038E1	-1,961250114E1
2,641761606E0	-2,364375114E1	-1,020000076E1	-1,944375038E1
2,661751118E0	-2,370000076E1	-1,020000076E1	-1,920000076E1
2,681737391E0	-2,351250076E1	-1,014375019E1	-1,931250000E1
2,701733353E0	-2,364375114E1	-9,956250191E0	-1,901250076E1
2,721727299E0	-2,370000076E1	-1,001250076E1	-1,931250000E1
2,741730354E0	-2,351250076E1	-1,001250076E1	-1,914375114E1
2,761730147E0	-2,375625038E1	-1,014375019E1	-1,914375114E1
2,781726749E0	-2,340000153E1	-1,020000076E1	-1,938750076E1
2,801728844E0	-2,351250076E1	-1,001250076E1	-1,968750000E1
2,821727890E0	-2,334375000E1	-9,900000572E0	-1,991250038E1
2,841722470E0	-2,340000153E1	-9,900000572E0	-2,028750038E1
2,861725415E0	-2,334375000E1	-9,712500572E0	-2,058750153E1
2,881724464E0	-2,304375076E1	-9,412500381E0	-2,021250153E1
2,901730441E0	-2,321250153E1	-9,543750763E0	-2,040000153E1
2,921731482E0	-2,291250038E1	-9,300000191E0	-2,064375114E1
2,941729146E0	-2,310000038E1	-9,056250572E0	-2,058750153E1
2,961722324E0	-2,304375076E1	-9,112500191E0	-2,058750153E1
2,981724933E0	-2,304375076E1	-9,056250572E0	-2,070000076E1
3,001722436E0	-2,304375076E1	-9,300000191E0	-2,058750153E1
3,021728758E0	-2,321250153E1	-9,300000191E0	-2,070000076E1
3,041728594E0	-2,345625114E1	-9,356250763E0	-2,111250114E1
3,061724827E0	-2,364375114E1	-9,243750572E0	-2,094375038E1
3,081728658E0	-2,394375038E1	-9,112500191E0	-2,094375038E1
3,101729281E0	-2,394375038E1	-9,112500191E0	-2,094375038E1
3,121724847E0	-2,394375038E1	-8,943750381E0	-2,094375038E1
3,141727829E0	-2,394375038E1	-8,812500000E0	-2,111250114E1
3,161726248E0	-2,400000000E1	-8,700000763E0	-2,111250114E1
3,181721369E0	-2,370000076E1	-8,812500000E0	-2,111250114E1
3,201725940E0	-2,370000076E1	-9,000000000E0	-2,100000000E1
3,221724470E0	-2,345625114E1	-9,000000000E0	-2,124375153E1
3,241729827E0	-2,340000153E1	-9,243750572E0	-2,100000000E1
3,261731698E0	-2,334375000E1	-9,243750572E0	-2,100000000E1
3,281729041E0	-2,351250076E1	-9,356250763E0	-2,118750000E1
3,301734114E0	-2,364375114E1	-9,300000191E0	-2,124375153E1
3,321731976E0	-2,340000153E1	-8,943750381E0	-2,130000114E1
3,341725945E0	-2,364375114E1	-8,756250381E0	-2,148750114E1
3,361728567E0	-2,364375114E1	-8,512500763E0	-2,184375000E1
3,381726535E0	-2,364375114E1	-8,643750191E0	-2,201250076E1
3,401723026E0	-2,345625114E1	-8,456250191E0	-2,220000076E1
3,421727339E0	-2,370000076E1	-8,456250191E0	-2,244375038E1
3,441761008E0	-2,375625038E1	-8,643750191E0	-2,238750076E1
3,461848423E0	-2,394375038E1	-8,812500000E0	-2,184375000E1
3,481575195E0	-2,411250114E1	-9,243750572E0	-2,148750114E1
3,501369322E0	-2,405625153E1	-9,543750763E0	-2,118750000E1
3,521212813E0	-2,411250114E1	-9,543750763E0	-2,058750153E1
3,541121344E0	-2,435625076E1	-9,543750763E0	-2,028750038E1
3,561047781E0	-2,430000114E1	-9,300000191E0	-2,010000038E1
3,581032411E0	-2,435625076E1	-9,412500381E0	-1,980000114E1
3,601095039E0	-2,400000000E1	-9,356250763E0	-1,944375038E1
3,621205517E0	-2,394375038E1	-9,356250763E0	-1,944375038E1
3,641360084E0	-2,405625153E1	-9,656250000E0	-1,950000000E1
3,661509838E0	-2,381250000E1	-9,412500381E0	-1,944375038E1
3,681617279E0	-2,394375038E1	-9,600000381E0	-1,968750000E1
3,701699054E0	-2,370000076E1	-9,656250000E0	-1,968750000E1
3,721749483E0	-2,375625038E1	-9,956250191E0	-1,974375153E1
3,741787388E0	-2,381250000E1	-9,956250191E0	-1,974375153E1
3,761803082E0	-2,424375153E1	-9,956250191E0	-1,998750114E1
3,781802564E0	-2,424375153E1	-9,843750000E0	-2,021250153E1
